Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Austria,Graz,CineplexX Graz & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.4 m x 9.2 m",Yes
Austria,Hohenems,Cineplexx Hohenems & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.0 m x 9.1 m",Yes
Austria,Vienna,CineplexX Apollo Vienna & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.6 m x 9.5 m",Yes
Austria,Vienna,CineplexX Donau Plex IMAX Vienna,1.90:1,IMAX CoLa,1.90:1,,"20.5 m x 11.0 m",Yes
Austria,Wiener Neudorf,CineplexX Westfield SCS & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Belgium,Antwerp,Kinepolis Mega NV Antwerpen & IMAX,1.90:1,IMAX CoLa,1.90:1,,"20.0 m x 11.0 m",Yes
Belgium,Brussels,Kinepolis Brussels & IMAX,1.43:1,IMAX GT Laser,1.43:1,,"27.6 m x 19.3 m",Yes
Belgium,Charleroi,Pathé Charleroi & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.0 m x 16.0 m",Yes
Belgium,Liège,Kinepolis Liege & IMAX,1.90:1,IMAX Laser XT,1.90:1,,"20.0 m x 8.0 m",Yes
Czechia,Prague,"IMAX Theatre, Palace Flora",1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,"23.9 m x 18.5 m",Yes
Finland,Helsinki,Finnkino Itis & IMAX,1.90:1,IMAX CoLa,1.90:1,,"23.3 m x 13.3 m",Yes
France,Archamps,Gaumont Archamps & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.0 m x 14.0 m",Yes
France,Aubiere,Pathe Cine Dome Aubiere & IMAX,1.90:1,IMAX CoLa,1.90:1,,"19.00 m x 10.33 m",Yes
France,Conflans-Sainte-Honorine,Pathe Conflans & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.0 m x 14.7 m",Yes
France,Grenoble,Pathe Grenoble & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
France,Ivry-sur-Seine,Cinema Pathe Quai d'Ivry & IMAX,1.90:1,IMAX CoLa,1.90:1,,"21.0 m x 11.0 m",Yes
France,La Valette-du-Var,Pathe La Valette & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"24.38 m x 13.67 m",Yes
France,Les Pennes Mirabeau,Pathe Plan de Campagne & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.0 m x 15.0 m",Yes
France,Lieusaint,Pathé Carré Sénart & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
France,Marne-la-Vallée,Gaumont Disney Village & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.7 m x 14.8 m",Yes
France,Montpellier,Gaumont Montpellier Multiplexe & IMAX,1.43:1,IMAX GT Laser,1.43:1,,"22.39 m x 16.76 m",Yes
France,Nîmes,Kinepolis Nimes & IMAX,1.90:1,IMAX Laser XT,1.90:1,,"17.17 m x 9.25 m",Yes
France,Paris,La Geode,Dome 1.43:1,IMAX Dome with Laser,Dome 1.43:1,,"23.7 m x 17.3 m",
France,Poitiers,Futuroscope - Kinemax IMAX Theatre,1.43:1,IMAX GT Laser,1.43:1,,"27.2 m x 21.4 m",No
France,Rouen,Gaumont Rouen Grand Quevilly & IMAX,1.90:1,IMAX CoLa,1.90:1,,"20.30 m x 10.45 m",Yes
France,Saran,Pathe Saran & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.0 m x 12.0 m",Yes
France,Thillois,Gaumont Parc Millesime & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.0 m x 12.0 m",Yes
France,Toulouse,Cinema Gaumont Labège & IMAX,1.90:1,IMAX CoLa,1.90:1,,"25.0 m x 15.0 m",Yes
France,Toulouse,IMAX Cite de l'Espace,1.43:1,IMAX GT Laser,1.43:1,,"21.5 m x 17.5 m",No
France,Tours,Cine Loire & IMAX,1.90:1,IMAX CoLa,1.90:1,,"18.7 m x 10.5 m",Yes
