Country,Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Bahrain,Muharraq,Diyar Al-Muharraq,Reel Cinemas & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
China,Beijing,Chaoyang,Beijing Emperor Center & IMAX,1.90:1,IMAX Cola,1.90:1,,22.19 m×11.76m,
China,Beijing,Chaoyang,Beijing Fangyuanli ID Mall Bona & IMAX,1.90:1,IMAX Cola,1.90:1,,20.92m×10.9m,
China,Beijing,Fangshan,Beijing Fangshan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,22.85m×11.76m,
China,Beijing,Haidian,Beijing Qinghe CGV & IMAX,1.90:1,IMAX Cola,1.90:1,,16.48m×8.31m,
China,Beijing,Shijingshan,Beijing Shijingshan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,23.22m×12.68m,
China,Fujian,Fuzhou,Fuzhou Strait Culture Art Center Jinyi & IMAX,1.90:1,IMAX Cola,1.90:1,,20.39m×10.59m,
China,Fujian,Xiamen,Xiamen Huli Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,20.18m×10.40m,
China,Guangdong,Guangzhou,Guangzhou New Park Mei Ah & IMAX,1.90:1,IMAX Cola,1.90:1,,23.55m×12.31m,
China,Guangdong,Shenzhen,Shenzhen One Avenue CGV & IMAX,1.90:1,IMAX Cola,1.90:1,,22.85m×11.76m,
China,Guangdong,Shenzhen,Shenzhen Maxland Jinyi & IMAX,1.90:1,IMAX Cola,1.90:1,,22.74m×11.80m,
China,Guangdong,Shenzhen,Shenzhen PAFC Mall Emperor & IMAX,1.90:1,IMAX Cola,1.90:1,,20.80m×11.00m,
China,Guangxi,Nanning,Nanning Qingxiu Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,22.76m×11.67m,
China,Guizhou,Guiyang,Guiyang The Future Ark Cross & IMAX,1.90:1,IMAX GT Laser,1.90:1,,32.16m×18.17m,
China,Guizhou,Guiyang,Guiyang Incity CGV & IMAX,1.90:1,IMAX Cola,1.90:1,,22.96m×11.94m,
China,Guizhou,Guiyang,Guiyang Zhongda Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,18.92m×9.91m,
China,Hebei,Shijiazhuang,Shijiazhuang MixC & IMAX,1.90:1,IMAX Cola,1.90:1,,25.07m×13.90m,
China,Heilongjiang,Harbin,Haxi Wanda Plaza IMAX,1.90:1,IMAX Cola,1.90:1,,20.54mx11.49m,
China,Henan,Zhengzhou,Zhengzhou Yoyo Park CGV & IMAX,1.90:1,IMAX Cola,1.90:1,,20.60mx10.64m,
China,Henan,Zhengzhou,Zhengzhou Wanda Erqi & IMAX,1.90:1,IMAX Cola,1.90:1,,21.30mx11.70m,
China,Hubei,Wuhan,Wuhan Wushang Moore & IMAX,1.90:1,IMAX Cola,1.90:1,,21.34mx11.10m,
China,Hunan,Changsha,Changsha Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,22.42mx11.51m,
China,Jiangsu,Jingjiang City,Jingjiang In City CGV & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,
China,Jiangsu,Nanjing,Nanjing Unimall Omnijoi & IMAX,1.90:1,IMAX Cola,1.90:1,,21.92mx11.45m,
China,Jiangsu,Suzhou,Kunshan MixC & IMAX,1.90:1,IMAX Cola,1.90:1,,23.84mx12.30m,
China,Jiangsu,Wuxi,Wuxi Livat Jinyi & IMAX,1.90:1,IMAX Cola,1.90:1,,23.22mx12.68m,
China,Jiangsu,Wuxi,Wuxi Big World & IMAX,1.90:1,IMAX Cola,1.90:1,,20.82mx10.83m,
China,Jiangsu,Wuxi,Wuxi Yaohan CGV & IMAX,1.90:1,IMAX Cola,1.90:1,,20.34mx10.73m,
China,Jiangsu,Wuxi,Wuxi Jiangnan Joy City Big World & IMAX,1.90:1,IMAX Cola,1.90:1,,25.00mx13.00m,
China,Jiangxi,Nanchang,Nanchang MixC & IMAX,1.90:1,IMAX Cola,1.90:1,,17.98mx9.44m,
China,Liaoning,Dalian,Dalian Jingkai Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,22.01mx11.51m,
China,Liaoning,Shenyang,Shenyang Olympic Wanda IMAX,1.90:1,IMAX Cola,1.90:1,,22.19mx11.61m,
China,Inner Mongolia,Hohhot,Hohhot East Xinhua Road Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,21.24mx10.87m,
China,Shandong,Jinan,Jinan Gaoxin Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,23.02m×11.85m,
China,Shandong,Jinan,Jinan MixC & IMAX,1.90:1,IMAX Cola,1.90:1,,22.85m×11.73m,
China,Shandong,Qingdao,Qingdao Wanda CBD Cinema IMAX,1.90:1,IMAX Cola,1.90:1,,21.20m×11.00m,
China,Shanghai,Baoshan,Wanda Shanghai Baoshan & IMAX,1.90:1,IMAX Cola,1.90:1,,20.05m×10.48m,
China,Shanghai,Hongkou,Jinyi Cinema & IMAX,1.90:1,IMAX Cola,1.90:1,,17.82m×8.44m,
China,Shanghai,Huangpu,Shanghai One East Palace & IMAX,1.90:1,IMAX Cola,1.90:1,,19.49m×10.11m,
China,Shanghai,Jing'an,Shanghai Daning IMIX Park Hoyts & IMAX,1.90:1,IMAX Cola,1.90:1,,25.88m×13.46m,
China,Shanghai,Jinshan,Shanghai Jinshan Wanda & IMAX,1.90:1,IMAX Laser XT,1.90:1,,23.16m×12.10m,
China,Shanxi,Taiyuan,Taiyuan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,26.51m×14.06m,
China,Shanxi,Taiyuan,Taiyuan MixC & IMAX,1.90:1,IMAX Cola,1.90:1,,22.85m×11.86m,
China,Sichuan,Chengdu,Chengdu MixC Ph2 Broadway & IMAX,1.90:1,IMAX Cola,1.90:1,,24.52m×12.80m,
China,Sichuan,Chengdu,Chengdu Shin Kong Plaza Emperor & IMAX,1.90:1,IMAX Cola,1.90:1,,23.87m×12.46m,
China,Yunnan,Kunming,Kunming Xishan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,,22.13m×11.66m,
China,Zhejiang,Ningbo,Ningbo MixC & IMAX,1.90:1,IMAX Cola,1.90:1,,25.88m×13.92m,
Hong Kong,Kowloon,Yau Tsim Mong,Hongkong ISQUARE Emperor & IMAX,1.90:1,IMAX Cola,1.90:1,,20.94m×11.80m,Yes
Hong Kong,Kowloon,Yau Tsim Mong,MCL Cinemas IMAX @ K11 Art House,1.90:1,IMAX Cola,1.90:1,,20.70m×11.77m,Yes
India,Delhi,Delhi,INOX Vishal Mall & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
India,Delhi,New Delhi,INOX Paras & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
India,Delhi,New Delhi,PVR Priya & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
India,Delhi,New Delhi,PVR Select City Walk Gold & IMAX,1.90:1,IMAX Cola,1.90:1,,16.30m×9.10m,Yes
India,Maharashtra,Mumbai,PVR Phoenix IMAX,1.90:1,IMAX Cola,1.90:1,,18.10m×9.40m,Yes
India,Maharashtra,Mumbai,PVR INOX Jio World Plaza Bkc & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
India,Maharashtra,Mumbai,EROS & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
India,Tamil Nadu,Coimbatore,Broadway Megaaplex & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
India,Uttar Pradesh,Noida,PVR Superplex Mall of India & IMAX,1.90:1,IMAX Laser XT,1.90:1,,21.50m×12.10m,Yes
Indonesia,Banten,South Tangerang,Bintaro Xchange 2 XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Indonesia,Banten,Tangerang,Alam Sutera XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Indonesia,DKI Jakarta,South Jakarta,Gandaria City XXI & IMAX,1.90:1,IMAX Cola,1.90:1,,20.40m×10.80m,Yes
Indonesia,DKI Jakarta,North Jakarta,Kelapa Gading XXI & IMAX,1.90:1,IMAX Cola,1.90:1,,23.60m×14.30m,Yes
Indonesia,Central Java,Semarang,The Park Semarang XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Indonesia,West Java,Bandung,Summarecon Mall Bandung XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Indonesia,West Java,Cikarang,AEON Mall Deltamas & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Indonesia,West Java,Depok,Margo City XXI & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Japan,Chūbu,Gifu,Aeon Kakamigahara & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Japan,Chūbu,Nagoya,109 Cinemas Nagoya & IMAX,1.90:1,IMAX Cola,1.90:1,,17.10m×8.80m,Yes
Japan,Chūbu,Shizuoka Prefecture,Cinema Sunshine Lalaport Numazu & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Japan,Hokkaido,Hokkaido,United Cinemas Sapporo Factory & IMAX,1.90:1,IMAX Cola,1.90:1,,24.90m×13.90m,Yes
Japan,Okinawa,Okinawa,United Cinemas Parco City Urasoe & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Japan,Kansai,Nara Prefecture,IMAX Cinema Sunshine Yamatokoriyama,1.90:1,IMAX Cola,1.90:1,,18.30m×9.60m,Yes
