Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Alberta,Calgary,Landmark Cinemas 16 Country Hills & IMAX,1.90:1,IMAX CoLa,1.90:1,No,35 ft 1.26 in,65 ft 7.4 in,Yes
Alberta,Calgary,Scotiabank Chinook & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,53 ft 1.01 in,69 ft 11.76 in,Yes
Alberta,Calgary,Scotiabank Edmonton & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 5.92 in,69 ft 10.58 in,Yes
Alberta,Edmonton,Cineplex Odeon South Edmonton & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Alberta,Edmonton,TELUS World of Science - Edmonton IMAX Theatre,1.90:1,IMAX GT Laser,1.90:1,No,41 ft 11.94 in,69 ft 11.76 in,Limited
British Columbia,Coquitlam,Cineplex Cinemas Coquitlam & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,33 ft 1.24 in,60 ft 9.53 in,Yes
British Columbia,Langley,Cineplex Cinemas Langley & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 5.92 in,69 ft 10.58 in,Yes
British Columbia,Richmond,SilverCity Riverport & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 9.86 in,69 ft 10.58 in,Yes
British Columbia,Vancouver,Scotiabank Theatre Vancouver & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
British Columbia,Vancouver,OMNIMAX Theatre at Science World,Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,88 ft 6.99 in,No
British Columbia,Victoria,"IMAX Victoria, Royal BC Museum",1.43:1,IMAX GT Laser,1.43:1,No,61 ft 3.43 in,84 ft 1.06 in,Yes
New Brunswick,Dieppe,Cineplex Cinemas Dieppe,1.90:1,IMAX Laser XT,1.90:1,No,31 ft 5.95 in,50 ft 11.81 in,Yes
Nova Scotia,Halifax,Scotiabank Halifax & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 9.46 in,71 ft 5.87 in,Yes
Ontario,Ancaster,SilverCity Ancaster Cinemas & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,35 ft 5.2 in,64 ft 3.65 in,Yes
Ontario,Kanata,Landmark Cinemas 24 Kanata & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Ontario,Mississauga,Cineplex Cinemas Mississauga & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 9.46 in,70 ft 5.67 in,Yes
Ontario,Oakville,Cineplex Cinemas Winston Churchill & IMAX,1.90:1,IMAX CoLa,1.90:1,No,34 ft 5.39 in,61 ft 8.16 in,Yes
Ontario,Sudbury,"La Salle IMAX, Science North",1.43:1,IMAX GT Laser,1.43:1,No,53 ft 5.73 in,72 ft 6.08 in,Yes
Ontario,Toronto,Cinesphere & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,59 ft 11.69 in,79 ft 11.84 in,Yes
Ontario,Toronto,Scotiabank Toronto & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,59 ft 11.69 in,77 ft 11.83 in,Yes
Ontario,Vaughan,Cineplex Cinemas Vaughan & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 10.65 in,71 ft 5.87 in,Yes
Ontario,Waterloo,Landmark Waterloo & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,56 ft 9.1 in,28 ft 2.58 in,Yes
Ontario,Whitby,Landmark Cinemas 24 Whitby & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Québec,Gatineau,Canadian Museum of History IMAX Dome,Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,75 ft 5.51 in,No
Québec,Montréal,IMAX Telus Montreal Science Centre,1.43:1,IMAX GT Laser,1.43:1,No,69 ft 11.76 in,90 ft 11.73 in,No
Saskatchewan,Regina,"Kramer IMAX, Saskatchewan Science Centre",1.43:1,IMAX GT Laser,1.43:1,IMAX SR 15/70 mm,51 ft 11.62 in,71 ft 11.78 in,Yes
