Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
China,Beijing,Chaoyang,Beijing Emperor Center & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.19 m,11.76 m,Yes
China,Beijing,Chaoyang,Beijing Fangyuanli ID Mall Bona & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.92 m,10.9 m,Unk
China,Beijing,Fangshan,Beijing Fangshan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.85 m,11.76 m,Unk
China,Beijing,Haidian,Beijing Qinghe CGV & IMAX,1.90:1,IMAX Cola,1.90:1,No,16.48 m,8.31 m,Unk
China,Beijing,Shijingshan,Beijing Shijingshan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,23.22 m,12.68 m,Unk
China,Fujian,Fuzhou,Fuzhou Strait Culture Art Center Jinyi & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.39 m,10.59 m,Unk
China,Fujian,Xiamen,Xiamen Huli Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.18 m,10.40 m,Unk
China,Guangdong,Guangzhou,Guangzhou New Park Mei Ah & IMAX,1.90:1,IMAX Cola,1.90:1,No,23.55 m,12.31 m,Unk
China,Guangdong,Shenzhen,Shenzhen One Avenue CGV & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.85 m,11.76 m,Unk
China,Guangdong,Shenzhen,Shenzhen Maxland Jinyi & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.74 m,11.80 m,Unk
China,Guangdong,Shenzhen,Shenzhen PAFC Mall Emperor & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.80 m,11.00 m,Unk
China,Guangxi,Nanning,Nanning Qingxiu Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.76 m,11.67 m,Unk
China,Guizhou,Guiyang,Guiyang The Future Ark Cross & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,32.16 m,18.17 m,Unk
China,Guizhou,Guiyang,Guiyang Incity CGV & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.96 m,11.94 m,Unk
China,Guizhou,Guiyang,Guiyang Zhongda Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,18.92 m,9.91 m,Unk
China,Hebei,Shijiazhuang,Shijiazhuang MixC & IMAX,1.90:1,IMAX Cola,1.90:1,No,25.07 m,13.90 m,Unk
China,Heilongjiang,Harbin,Haxi Wanda Plaza IMAX,1.90:1,IMAX Cola,1.90:1,No,20.54 m,11.49 m,Unk
China,Henan,Zhengzhou,Zhengzhou Yoyo Park CGV & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.60 m,10.64 m,Unk
China,Henan,Zhengzhou,Zhengzhou Wanda Erqi & IMAX,1.90:1,IMAX Cola,1.90:1,No,21.30 m,11.70 m,Unk
