City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Ashford,Cineworld Ashford & IMAX,1.43:1,IMAX CoLa,1.90:1,No,23 m,16 m,Yes
Barnsley,Cineworld Barnsley & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Belfast,Cineworld Belfast & IMAX,1.43:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Dunfermline,ODEON Dunfermline & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Gateshead,ODEON Gateshead & IMAX,1.90:1,IMAX CoLa,1.90:1,No,19.0 m,10.0 m,Yes
Glasgow,Cineworld Silverburn & IMAX,1.90:1,IMAX CoLa,1.90:1,No,24 m,13 m,Yes
Liverpool,ODEON Liverpool ONE & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
London,Cineworld Leicester Square IMAX,1.90:1,IMAX GT Laser,1.90:1,No,26.5 m,14.0 m,Yes
Manchester,ODEON Trafford Centre & IMAX,1.90:1,IMAX CoLa,1.90:1,No,17.8 m,9.7 m,Yes
Rushden,Cineworld Rushden Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,No,23.8 m,13.2 m,Yes
Sheffield,Cineworld Sheffield & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,23.9 m,12.9 m,Yes
Swindon,VUE Swindon & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Watford,Cineworld Watford & IMAX,1.90:1,IMAX CoLa,1.90:1,No,22.0 m,11.6 m,Yes
York,Cineworld York & IMAX,1.43:1,IMAX CoLa,1.90:1,No,22.29 m,16.81 m,Yes
London,"BFI IMAX, British Film Institute",1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,26 m,20 m,Yes
London,IMAX: The Ronson Theatre at the Science Museum,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,24.3 m,16.8 m,Yes
Manchester,Vue Manchester IMAX & The Printworks,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,26.3 m,18.8 m,Yes
