Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Austria,Graz,CineplexX Graz & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.4 m × 9.2 m
57.1 ft × 30.2 ft",Yes
Austria,Hohenems,Cineplexx Hohenems & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.0 m × 9.1 m
55.8 ft × 30.0 ft",Yes
Austria,Vienna,CineplexX Apollo Vienna & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.6 m × 9.5 m
57.8 ft × 31.2 ft",Yes
Austria,Vienna,CineplexX Donau Plex IMAX Vienna,1.90:1,IMAX CoLa,1.90:1,,"20.5 m × 11.0 m
67.3 ft × 36.1 ft",Yes
Austria,Wiener Neudorf,CineplexX Westfield SCS & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Belgium,Antwerp,Kinepolis Mega NV Antwerpen & IMAX,1.90:1,IMAX CoLa,1.90:1,,"20.0 m × 11.0 m
65.6 ft × 36.1 ft",Yes
Belgium,Brussels,Kinepolis Brussels & IMAX,1.43:1,IMAX GT Laser,1.43:1,,"27.6 m × 19.3 m
90.6 ft × 63.3 ft 533 m
5,740 sq ft",Yes
Belgium,Charleroi,Pathé Charleroi & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.0 m × 16.0 m
72.2 ft × 52.5 ft 352 m
3,790 sq ft",Yes
Belgium,Liège,Kinepolis Liege & IMAX,1.90:1,IMAX Laser XT,1.90:1,,"20.0 m × 8.0 m
65.6 ft × 26.2 ft 160 m
1,700 sq ft",Yes
Finland,Helsinki,Finnkino Itis & IMAX,1.90:1,IMAX CoLa,1.90:1,,"23.3 m × 13.3 m
76.5 ft × 43.6 ft",Yes
France,Archamps,Gaumont Archamps & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.0 m × 14.0 m
82.0 ft × 45.9 ft 350 m
3,800 sq ft",Yes
France,Aubiere,Pathe Cine Dome Aubiere & IMAX,1.90:1,IMAX CoLa,1.90:1,,"19.00 m × 10.33 m
62.3 ft × 33.9 ft 196 m
2,110 sq ft",Yes
France,Conflans-Sainte-Honorine,Pathe Conflans & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.0 m × 14.7 m
82.0 ft × 48.2 ft 368 m
3,960 sq ft",Yes
France,Grenoble,Pathe Grenoble & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
France,Ivry-sur-Seine,Cinema Pathe Quai d'Ivry & IMAX,1.90:1,IMAX CoLa,1.90:1,,"21.0 m × 11.0 m
68.9 ft × 36.1 ft 231 m
2,490 sq ft",Yes
France,La Valette-du-Var,Pathe La Valette & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"24.38 m × 13.67 m
80.0 ft × 44.8 ft 333 m
3,580 sq ft",Yes
France,Les Pennes Mirabeau,Pathe Plan de Campagne & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.0 m × 15.0 m
82.0 ft × 49.2 ft 375 m
4,040 sq ft",Yes
France,Lieusaint,Pathé Carré Sénart & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
France,Marne-la-Vallée,Gaumont Disney Village & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"25.7 m × 14.8 m
84.3 ft × 48.6 ft 380 m
4,100 sq ft",Yes
