Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Beijing,Chaoyang,Beijing Emperor Center & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 6.99 in,72 ft 9.62 in,Yes
Beijing,Chaoyang,Beijing Fangyuanli ID Mall Bona & IMAX,1.90:1,IMAX CoLa,1.90:1,No,35 ft 9.13 in,68 ft 7.62 in,Unk
Beijing,Chaoyang,China National Film Museum & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,64 ft 0.11 in,98 ft 11.8 in,Unk
Beijing,Chaoyang,"IMAX 3D, China Science & Technology Museum",1.43:1,,,IMAX GT3D 15/70 mm,71 ft 11.39 in,97 ft 0.57 in,Unk
Beijing,Chaoyang,"IMAX Dome, China Science & Technology Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,98 ft 5.1 in,Unk
Beijing,Fangshan,Beijing Fangshan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 6.99 in,74 ft 11.61 in,Unk
Beijing,Haidian,Beijing Qinghe CGV & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 3.17 in,54 ft 0.82 in,Unk
Beijing,Shijingshan,Beijing Shijingshan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,41 ft 7.21 in,76 ft 2.17 in,Unk
Beijing,Tongzhou,Universal Beijing Resort Universal City Walk & IMAX,,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Chongqing,Jiangbei,"IMAX, Chongqing Science & Technology Museum",1.43:1,,,IMAX SR 15/70 mm,52 ft 5.92 in,72 ft 2.14 in,Unk
Chongqing,Yuzhong,"IMAX Dome, Chongqing Children's Museum",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,0 ft 0.0 in,59 ft 0.66 in,Unk
Fujian,Fuzhou,Fuzhou Strait Culture Art Center Jinyi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,34 ft 8.93 in,66 ft 10.76 in,Unk
Fujian,Xiamen,Xiamen Huli Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,34 ft 1.45 in,66 ft 2.49 in,Unk
Guangdong,Dongguan,Dongguan Wanda & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,64 ft 0.11 in,105 ft 2.2 in,Unk
Guangdong,Dongguan,"IMAX Dome, Dongguan Science & Technology Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,59 ft 0.66 in,Unk
Guangdong,Guangzhou,Guangzhou New Park Mei Ah & IMAX,1.90:1,IMAX CoLa,1.90:1,No,40 ft 4.65 in,77 ft 3.17 in,Unk
Guangdong,Guangzhou,Guangzhou Rock Square Flying & IMAX,,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Guangdong,Maoming,Maoming Donghui & IMAX,,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Guangdong,Shenzhen,Shenzhen One Avenue CGV & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 6.99 in,74 ft 11.61 in,Unk
Guangdong,Shenzhen,Shenzhen Maxland Jinyi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 8.57 in,74 ft 7.28 in,Unk
Guangdong,Shenzhen,Shenzhen PAFC Mall Emperor & IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 1.07 in,68 ft 2.9 in,Unk
Guangdong,Shenzhen,Shenzhen Longgang Tian An MixC & IMAX,,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Guangxi,Nanning,Nanning Qingxiu Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 3.45 in,74 ft 8.06 in,Unk
Guizhou,Guiyang,Guiyang The Future Ark Cross & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,59 ft 7.35 in,105 ft 6.14 in,Unk
Guizhou,Guiyang,Guiyang Incity CGV & IMAX,1.90:1,IMAX CoLa,1.90:1,No,39 ft 2.08 in,75 ft 3.94 in,Unk
Guizhou,Guiyang,Guiyang Zhongda Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,32 ft 6.16 in,62 ft 0.88 in,Unk
Hebei,Shijiazhuang,Shijiazhuang MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,45 ft 7.24 in,82 ft 3.01 in,Unk
Heilongjiang,Daqing,"IMAX, Da Qing Science & Technology Museum",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,0 ft 0.0 in,59 ft 0.66 in,Unk
Heilongjiang,Harbin,Haxi Wanda Plaza IMAX,1.90:1,IMAX CoLa,1.90:1,No,37 ft 8.36 in,67 ft 4.66 in,Unk
Heilongjiang,Harbin,Harbin Tai Lai Era & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,69 ft 10.58 in,93 ft 11.95 in,Unk
Heilongjiang,Harbin,Harbin MixC & IMAX,,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Heilongjiang,Harbin,"IMAX, Heilongjiang Science & Technology Center",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,0 ft 0.0 in,0 ft 0.0 in,Unk
Henan,Zhengzhou,Zhengzhou Yoyo Park CGV & IMAX,1.90:1,IMAX CoLa,1.90:1,No,34 ft 10.9 in,67 ft 7.02 in,Unk
Henan,Zhengzhou,Zhengzhou Wanda Erqi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 4.63 in,69 ft 10.58 in,Unk
Hubei,Wuhan,Wuhan Wushang Moore & IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 5.01 in,70 ft 0.16 in,Unk
Hubei,Wuhan,Wuhan Wushang Dream Plaza Moore & IMAX,,IMAX CoLa,,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Hunan,Changsha,Changsha MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Hunan,Changsha,Changsha Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,37 ft 9.15 in,73 ft 6.68 in,Unk
Inner Mongolia,Hohhot,Hohhot East Xinhua Road Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,35 ft 7.95 in,69 ft 8.22 in,Unk
Jiangsu,Jingjiang City,Jingjiang In City CGV & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Jiangsu,Nanjing,Nanjing Unimall Omnijoi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,37 ft 6.79 in,71 ft 10.99 in,Unk
Jiangsu,Nanjing,"IMAX, Nanjing Juvenile Science & Technology Center",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,0 ft 0.0 in,68 ft 10.77 in,Unk
Jiangsu,Suzhou,Kunshan MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,40 ft 4.25 in,78 ft 2.58 in,Unk
Jiangsu,Wuxi,Wuxi Livat Jinyi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,41 ft 7.21 in,76 ft 2.17 in,Unk
Jiangsu,Wuxi,Wuxi Big World & IMAX,1.90:1,IMAX CoLa,1.90:1,No,35 ft 6.38 in,68 ft 3.69 in,Unk
Jiangsu,Wuxi,Wuxi Yaohan CGV & IMAX,1.90:1,IMAX CoLa,1.90:1,No,35 ft 2.44 in,66 ft 8.79 in,Unk
Jiangsu,Wuxi,Wuxi Jiangnan Joy City Big World & IMAX,1.90:1,IMAX CoLa,1.90:1,No,42 ft 7.81 in,82 ft 0.25 in,Unk
Jiangxi,Nanchang,Nanchang MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,30 ft 11.65 in,58 ft 11.87 in,Unk
Liaoning,Dalian,Dalian Jingkai Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,37 ft 9.15 in,72 ft 2.54 in,Unk
Liaoning,Shenyang,Shenyang Olympic Wanda IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 1.09 in,72 ft 9.62 in,Unk
Liaoning,Shenyang,"IMAX, Liaoning Science & Technology Museum",1.43:1,IMAX GT Laser,1.43:1,No,72 ft 2.14 in,95 ft 0.94 in,Unk
Shandong,Jinan,Jinan Gaoxin Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 10.54 in,75 ft 6.3 in,Unk
Shandong,Jinan,Jinan MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 5.81 in,74 ft 11.61 in,Unk
Shandong,Jinan,Shandong Science & Technology Museum,,IMAX GT Laser,,No,0 ft 0.0 in,0 ft 0.0 in,Unk
Shandong,Qingdao,Qingdao Wanda CBD Cinema IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 1.07 in,69 ft 6.65 in,Unk
Shanghai,Baoshan,Wanda Shanghai Baoshan & IMAX,1.90:1,IMAX CoLa,1.90:1,No,34 ft 4.6 in,65 ft 9.37 in,Unk
Shanghai,Hongkou,Jinyi Cinema & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 8.28 in,58 ft 5.57 in,Unk
Shanghai,Huangpu,Shanghai One East Palace & IMAX,1.90:1,IMAX CoLa,1.90:1,No,33 ft 2.03 in,63 ft 11.32 in,Unk
Shanghai,Jing'an,Shanghai Daning IMIX Park Hoyts & IMAX,1.90:1,IMAX CoLa,1.90:1,No,44 ft 1.92 in,84 ft 10.9 in,Unk
Shanghai,Jinshan,Shanghai Jinshan Wanda & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,39 ft 8.38 in,75 ft 11.81 in,Unk
Shanghai,Pudong,"IMAX Dome, Shanghai Science & Technology Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,75 ft 5.51 in,Unk
Shanghai,Pudong,"IMAX 3D, Shanghai Science & Technology Museum",1.43:1,,,IMAX GT3D 15/70 mm,60 ft 0.47 in,79 ft 8.69 in,Unk
Shanxi,Taiyuan,Taiyuan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,46 ft 1.54 in,86 ft 11.7 in,Unk
Shanxi,Taiyuan,Taiyuan MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 10.93 in,74 ft 11.61 in,Unk
Sichuan,Chengdu,Chengdu MixC Ph2 Broadway & IMAX,1.90:1,IMAX CoLa,1.90:1,No,41 ft 11.94 in,80 ft 5.35 in,Unk
Sichuan,Chengdu,Chengdu Shin Kong Plaza Emperor & IMAX,1.90:1,IMAX CoLa,1.90:1,No,40 ft 10.55 in,78 ft 3.76 in,Unk
Yunnan,Kunming,Kunming Xishan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 3.06 in,72 ft 7.26 in,Unk
Yunnan,Kunming,Kunming Panxing Dadu LLC & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,56 ft 11.86 in,75 ft 9.45 in,Unk
Zhejiang,Ningbo,Ningbo MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,45 ft 8.03 in,84 ft 10.9 in,Unk
