Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Delhi,Delhi,INOX Vishal Mall & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Delhi,New Delhi,INOX Paras & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Delhi,New Delhi,PVR Priya & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Delhi,New Delhi,PVR Select City Walk Gold & IMAX,1.90:1,IMAX CoLa,1.90:1,No,53 ft 5.73 in,29 ft 10.27 in,Yes
Maharashtra,Mumbai,PVR Phoenix IMAX,1.90:1,IMAX CoLa,1.90:1,No,59 ft 4.6 in,30 ft 10.08 in,Yes
Maharashtra,Mumbai,PVR INOX Jio World Plaza Bkc & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Maharashtra,Mumbai,EROS & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Maharashtra,Mumbai,Miraj Wadala & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Tamil Nadu,Coimbatore,Broadway Megaaplex & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Uttar Pradesh,Noida,PVR Superplex Mall of India & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,70 ft 6.46 in,39 ft 8.38 in,Yes
Gujarat,Ahmedabad,"IMAX 3D, Gujarat Science City",1.43:1,,,IMAX GT3D 15/70 mm,95 ft 1.73 in,65 ft 8.98 in,No
