Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Gyeonggi,Goyang-si,CGV Ilsan & IMAX,1.90:1,IMAX CoLa,1.90:1,No,37 ft 8.76 in,68 ft 10.77 in,Yes
Gyeonggi,Hwaseong,CGV Dongtan & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Gyeonggi,Incheon,CGV Incheon & IMAX,1.90:1,IMAX CoLa,1.90:1,No,29 ft 10.27 in,55 ft 1.42 in,Yes
Gyeonggi,Pyeongtaek,CGV Pyeongtaek & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,25 ft 7.09 in,46 ft 7.06 in,Yes
Gyeonggi,Seoul,CGV Apgujeong & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,29 ft 6.33 in,52 ft 5.92 in,Yes
Gyeonggi,Seoul,CGV Yeongdeungpo & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Gyeonggi,Seoul,CGV Yongsan I-Park Mall & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,73 ft 5.89 in,101 ft 8.47 in,Yes
Gyeonggi,Seoul,CGV Wangsipini & IMAX,1.90:1,IMAX CoLa,1.90:1,No,43 ft 7.62 in,72 ft 2.14 in,Yes
Gyeonggi,Suwon,CGV Gwangyo & IMAX,1.90:1,IMAX CoLa,1.90:1,No,39 ft 4.44 in,65 ft 7.4 in,Yes
Honam,Suncheon,CGV Suncheon Shindae & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,31 ft 2.02 in,61 ft 0.28 in,Yes
Hoseo,Cheonan,CGV Cheonon Pentaport & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,24 ft 7.28 in,44 ft 3.5 in,Yes
Hoseo,Cheonan,CGV Cheonon Terminal & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,27 ft 6.71 in,51 ft 2.17 in,Yes
Hoseo,Daejeon,CGV Daejeon Terminal & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,27 ft 10.65 in,52 ft 5.92 in,Yes
Yeongnam,Busan,CGV Centum City & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,52 ft 1.98 in,98 ft 5.1 in,Yes
Yeongnam,Daegu,CGV Daegu Spectrum City & IMAX,1.90:1,IMAX CoLa,1.90:1,No,41 ft 4.06 in,69 ft 10.58 in,Yes
Yeongnam,Ulsan,CGV Ulsan Samsan & IMAX,1.90:1,IMAX CoLa,1.90:1,No,46 ft 3.12 in,80 ft 0.63 in,Yes
