City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Ashford,Cineworld Ashford & IMAX,1.43:1,IMAX CoLa,1.90:1,No,75 ft 5.51 in,52 ft 5.92 in,Yes
Barnsley,Cineworld Barnsley & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Belfast,Cineworld Belfast & IMAX,1.43:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Dunfermline,ODEON Dunfermline & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Gateshead,ODEON Gateshead & IMAX,1.90:1,IMAX CoLa,1.90:1,No,62 ft 4.03 in,32 ft 9.7 in,Yes
Glasgow,Cineworld Silverburn & IMAX,1.90:1,IMAX CoLa,1.90:1,No,78 ft 8.88 in,42 ft 7.81 in,Yes
Liverpool,ODEON Liverpool ONE & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
London,Cineworld Leicester Square IMAX,1.90:1,IMAX GT Laser,1.90:1,No,86 ft 11.31 in,45 ft 11.18 in,Yes
Manchester,ODEON Trafford Centre & IMAX,1.90:1,IMAX CoLa,1.90:1,No,58 ft 4.79 in,31 ft 9.89 in,Yes
Rushden,Cineworld Rushden Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,No,78 ft 1.01 in,43 ft 3.69 in,Yes
Sheffield,Cineworld Sheffield & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,78 ft 4.94 in,42 ft 3.87 in,Yes
Swindon,VUE Swindon & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Watford,Cineworld Watford & IMAX,1.90:1,IMAX CoLa,1.90:1,No,72 ft 2.14 in,38 ft 0.69 in,Yes
York,Cineworld York & IMAX,1.43:1,IMAX CoLa,1.90:1,No,73 ft 1.56 in,55 ft 1.81 in,Yes
London,"BFI IMAX, British Film Institute",1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,85 ft 3.62 in,65 ft 7.4 in,Yes
London,IMAX: The Ronson Theatre at the Science Museum,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,79 ft 8.69 in,55 ft 1.42 in,Yes
Manchester,Vue Manchester IMAX & The Printworks,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,86 ft 3.43 in,61 ft 8.16 in,Yes
