Country,Province/State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
United States,AL,Birmingham,"IMAX Dome, McWane Center",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,24.00 m, Yes
United States,AZ,Phoenix,AMC Deer Valley 30 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.70 m,15.60 m,Yes
United States,AZ,Grand Canyon,"Grand Canyon IMAX, Grand Canyon Visitors Center",1.43:1,IMAX GT Laser,1.43:1,No,18.00 m,23.80 m,No
United States,AZ,Tempe,Harkins Arizona Mills 25 & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,18.30 m,24.40 m,Yes
United States,CA,Aliso Viejo,Regal Edwards Aliso Viejo & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.40 m,16.50 m,Yes
United States,CA,Arcadia,AMC Santa Anita 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.10 m,15.90 m,Yes
United States,CA,Burbank,AMC Burbank 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.30 m,19.20 m,Yes
United States,CA,Canoga Park,AMC Topanga 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,Daly City,Cinemark Century Daly City 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,Emeryville,AMC Bay Street 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.80 m,15.10 m,Yes
United States,CA,Fresno,Regal Edwards Fresno & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,Glendale,AMC The Americana at Brand 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,Long Beach,Regal Edwards Long Beach & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.30 m,16.50 m,Yes
United States,CA,Los Angeles,AMC Century City 15 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,16.80 m,Yes
United States,CA,Los Angeles,AMC The Grove & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,Montclair,AMC DINE-IN Montclair 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,National City,AMC Plaza Bonita 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.00 m,15.50 m,Yes
United States,CA,Newark,AMC Newpark 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.20 m,18.50 m,Yes
United States,CA,Orange,AMC 30 at the Block & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.80 m,17.40 m,Yes
United States,CA,Santa Clara,AMC Mercado 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,17.40 m,Yes
United States,CA,South Gate,Regal Edwards South Gate & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.30 m,17.70 m,Yes
United States,CA,Stockton,Regal Stockton City Centre & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.60 m,16.10 m,Yes
United States,CA,Sunnyvale,AMC DINE-IN Sunnyvale 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,Temecula,Regal Edwards Temecula & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.20 m,15.50 m,Yes
United States,CA,Torrance,AMC Del Amo 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.80 m,15.90 m,Yes
United States,CA,Yorba Linda,Regal Yorba Linda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CA,City of Industry,AMC Puente 20 & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,9.10 m,17.40 m,Yes
