Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Chūbu,Gifu,Aeon Kakamigahara & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Chūbu,Nagoya,109 Cinemas Nagoya & IMAX,1.90:1,IMAX Cola,1.90:1,No,17.10m,8.80m,Yes
Chūbu,Shizuoka Prefecture,Cinema Sunshine Lalaport Numazu & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Hokkaido,Hokkaido,United Cinemas Sapporo Factory & IMAX,1.90:1,IMAX Cola,1.90:1,No,24.90m,13.90m,Yes
Okinawa,Okinawa,United Cinemas Parco City Urasoe & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kansai,Nara Prefecture,IMAX Cinema Sunshine Yamatokoriyama,1.90:1,IMAX Cola,1.90:1,No,18.30m,9.60m,Yes
Kansai,Osaka,AEON Shijonawate & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kantō,Chiba,AEON Ichikawa Myoden & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kantō,Chiba,TOHO Nagareyama-Takanomori & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kantō,Chiba,Aeon Makuhari Shin-toshin & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kantō,Chiyodaku,TOHO Cinemas Hibiya & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kantō,Fujisawa City,109 Cinemas Shonan & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.60m,11.50m,Yes
Kantō,Kawasaki,109 Cinemas Kawasaki & IMAX,1.90:1,IMAX Cola,1.90:1,No,17.40m,9.00m,Yes
Kantō,Kiba,109 Cinemas Kiba & IMAX,1.90:1,IMAX Cola,1.90:1,No,18.00m,9.10m,Yes
Kantō,Matsudo,United Cinemas Matsudo & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kantō,Nerima-ku,United Cinemas Toshimaen & IMAX,1.90:1,IMAX Cola,1.90:1,No,19.00m,9.50m,Yes
Kantō,Saitama,109 Cinemas Shobu & IMAX,1.90:1,IMAX Cola,1.90:1,No,18.40m,9.80m,Yes
Kantō,Tokyo,109 Cinemas Futako Tamagawa & IMAX,1.90:1,IMAX Cola,1.90:1,No,18.50m,9.90m,Yes
Kantō,Tokyo,109 Cinemas Grandberry Mall & IMAX,1.90:1,IMAX Cola,1.90:1,No,16.80m,8.60m,Yes
Kantō,Tokyo,Aeon Chofu & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kantō,Tokyo,Toho Cinemas Shinjyuku & IMAX,1.90:1,IMAX Cola,1.90:1,No,19.5m,10.9m,Yes
Kantō,Tsuchiura-shi,Cinema Sunshine Tsuchiura & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,16.7m,9.2m,Yes
Kantō,Urawa,United Cinemas Urawa & IMAX,1.90:1,IMAX Cola,1.90:1,No,18.2m,9.2m,Yes
Kyushu,Fukuoka,Aeon Fukuoka & IMAX,1.90:1,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kyushu,Hakata-ku,United Cinemas Canal City 13 & IMAX,1.90:1,IMAX Cola,1.90:1,No,15.10m,8.40m,Yes
Chūgoku,Okayama,Aeon Okayama & IMAX,,IMAX Cola,1.90:1,No,0 m,0 m,Yes
Kansai,Osaka,109 Cinemas Osaka Expocity & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,26.00m,18.00m,Yes
Kantō,Tokyo,Grand Cinema Sunshine & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,25.8m,18.9m,Yes
Kyushu,Kagoshima,"Space Theatre, Municipal Science Hall",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,20.50m,0 m,Unk
